Pager usage is off.
Output format is csv.
BEGIN
database_name,db_user,postgres_version,export_timestamp,transaction_read_only
tecdex_saas,postgres,"PostgreSQL 16.15 (Ubuntu 16.15-0ubuntu0.24.04.1) on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0, 64-bit",2026-09-08 11:33:24.082996+00,on
DBN05_EXPORT_SECTION standards
standard_code,display_name,family,description,is_active,created_at,updated_at
ISO27001,ISO/IEC 27001 Information security management,information_security,"Sistema de gestion de seguridad de la informacion basado en riesgos, activos, controles y tratamiento.",t,2026-05-06 18:00:36.670084+00,2026-06-09 18:36:43.622399+00
ISO42001,ISO/IEC 42001 Artificial intelligence management,ai_management,"Sistema de gestion para gobernanza, riesgos, supervision, transparencia y operacion responsable de sistemas de IA.",t,2026-05-06 18:00:36.670084+00,2026-05-06 18:00:36.670084+00
ISO9001,ISO 9001 Quality management,quality_management,"Sistema de gestion de calidad para procesos, cliente, proveedores, no conformidades y mejora.",t,2026-05-06 18:00:36.670084+00,2026-06-09 18:36:43.622399+00
DBN05_EXPORT_SECTION standard_versions
standard_version_id,standard_code,version_code,display_name,publication_status,certifiable,replaces_version,effective_from,transition_until,source_policy,notes,is_active
e97cee1b-e6a4-455e-b365-d84c84922aba,ISO27001,2022,ISO/IEC 27001:2022,published,t,,2022-10-25,,copyright_safe_summary,Version certificable vigente para SGSI.,t
fdf7c96d-6beb-4e63-b963-5905bf7b7850,ISO42001,2023,ISO/IEC 42001:2023,published,t,,2023-12-18,,copyright_safe_summary,Version usada por el producto para gestion responsable de sistemas de IA.,t
c863eac0-86f7-478c-860d-56c04fe4b524,ISO9001,2015,ISO 9001:2015,published,t,,2015-09-15,,copyright_safe_summary,Version certificable vigente para gestion de calidad en esta fase.,t
011fd602-7b95-4152-ad39-4172e3363e43,ISO9001,2026_FDIS,ISO 9001:2026 FDIS - preparacion de transicion,transition_prep,f,2015,,,copyright_safe_summary,Version FDIS/draft para preparacion. No reemplaza ISO 9001:2015 ni habilita certificacion final.,t
DBN05_EXPORT_SECTION controls_catalog
qa_control_id,qa_standard_code,clause,category,description,source_type,is_active,base_control_id,created_at,updated_at
7acdad44-28d2-4c69-ab85-0713dad8b7d9,ISO27001,9,Controles críticos,Cifrado de datos,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
804654f5-4fe9-4e4f-b1f4-b3b8c25d83ec,ISO27001,9,Controles críticos,Gestión de vulnerabilidades,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
96cd2a9e-f7a7-41ea-b9f0-003b2b500531,ISO27001,9,Cláusula 9: Evaluación  :,Monitoreo de seguridad,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
984b450b-f0dd-4c1e-b71c-7d014673dc80,ISO27001,9,Controles críticos,Logs activos,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
9c925425-7bb7-4149-8290-879509368285,ISO27001,9,Cláusula 9: Evaluación  :,Revisión dirección,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
da4aa13d-b5a9-4c61-ada0-b4c9389ec3e6,ISO27001,9,Cláusula 9: Evaluación  :,KPIs definidos,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
ea171534-cba0-4b14-aed1-4aac1cd18794,ISO27001,9,Cláusula 9: Evaluación  :,Auditorías internas,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
02e946e5-01ab-482b-ba8d-725f3508a2f9,ISO27001,GENERAL,General,Se controlan dispositivos,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
0d6f78dd-fd45-44ab-8eec-c631c7aa24e4,ISO27001,GENERAL,General,Se realizan respaldos,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
1a0541bd-7ce5-454b-930c-671d19d2d08b,ISO27001,GENERAL,General,Existe política de seguridad de la información,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
375b2d5e-917b-411f-afa5-c871539d8887,ISO27001,GENERAL,General,Se gestionan vulnerabilidades,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
667f9b78-138c-41b3-845b-d8fdfcb725b0,ISO27001,GENERAL,General,Se gestionan incidentes,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
67e67e4e-5b0f-49a7-ba96-89b4f34b83cd,ISO27001,GENERAL,General,Se gestionan accesos de usuarios,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
6c144c5a-228e-4410-88da-3443b60b10e9,ISO27001,GENERAL,Gestión de vulnerabilidades,"Se identifican, evalúan, priorizan y tratan vulnerabilidades técnicas que puedan afectar activos, sistemas, servicios o información sensible.",generic,t,,2026-05-06 23:33:25.268551,2026-05-06 23:33:25.268551
6fc96414-f6ba-4346-9c8c-98521ae1291c,ISO27001,GENERAL,General,Se cifran datos,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
a8707ef7-3d39-4631-97c0-2b6d16c319b4,ISO27001,GENERAL,General,Se monitorean logs,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
adafe2a5-7ac4-42e6-8b1b-898cd298985c,ISO27001,GENERAL,General,Se capacita al personal,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
c8fedda5-3837-41ca-ab48-6f6308b29523,ISO27001,GENERAL,Seguridad física,"Se controlan accesos físicos a áreas críticas, oficinas, salas técnicas, equipos y ubicaciones donde se procesa o almacena información sensible.",generic,t,,2026-05-06 23:28:42.370307,2026-05-06 23:28:42.370307
