role,permission,route,action,endpoint,method,resource,dataScope,allowed,conditions,featureCapability,auditEvent,positiveTest,negativeTest,crossTenantTest,sourceFile,authSignal,roleSignal,tenantSignal
,,,POST /upload,/upload,POST,2evidences.routes,tenant-signal,,,,,,,,backend/src/routes/_legacy/2evidences.routes.js,true,false,true
,,,PUT /validate/:id,/validate/:id,PUT,2evidences.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/_legacy/2evidences.routes.js,true,false,true
,,,PUT /approve/:id,/approve/:id,PUT,2evidences.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/_legacy/2evidences.routes.js,true,false,true
,,,GET /:tenant_id,/:tenant_id,GET,2evidences.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/_legacy/2evidences.routes.js,true,false,true
,,,GET /:id/updates,/:id/updates,GET,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,POST /:id/updates,/:id/updates,POST,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,POST /:id/request-approval,/:id/request-approval,POST,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,POST /:id/review-approval,/:id/review-approval,POST,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,POST /:id/ai-review,/:id/ai-review,POST,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,GET /:tenant_id,/:tenant_id,GET,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,POST /,/,POST,action-plans.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,PUT /:id,/:id,PUT,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,DELETE /:id,/:id,DELETE,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,GET /overview,/overview,GET,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,GET /dealer/tenants,/dealer/tenants,GET,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,true,true
,,,GET /tenants,/tenants,GET,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,true,true
,,,POST /tenants,/tenants,POST,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,true,true
,,,PUT /tenants/:tenant_id/logo,/tenants/:tenant_id/logo,PUT,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,PUT /tenants/:tenant_id,/tenants/:tenant_id,PUT,admin-saas.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,PUT /tenants/:tenant_id/ai-settings,/tenants/:tenant_id/ai-settings,PUT,admin-saas.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,GET /tenants/:tenant_id,/tenants/:tenant_id,GET,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,GET /dealers,/dealers,GET,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,true,true
,,,GET /audit-log,/audit-log,GET,admin-saas.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/admin-saas.routes.js,true,true,true
,,,GET /dealer/requests,/dealer/requests,GET,admin-saas.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,GET /modules,/modules,GET,admin-saas.routes,unknown,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,false
,,,PUT /tenants/:tenant_id/modules/:module_key,/tenants/:tenant_id/modules/:module_key,PUT,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,PUT /tenants/:tenant_id/standards/:standard_code,/tenants/:tenant_id/standards/:standard_code,PUT,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,POST /tenants/:tenant_id/standards/:standard_code/initialize-controls,/tenants/:tenant_id/standards/:standard_code/initialize-controls,POST,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,true,true
,,,POST /tenants/:tenant_id/standards/:standard_code/initialize-controls,/tenants/:tenant_id/standards/:standard_code/initialize-controls,POST,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,true,true
,,,POST /tenants/:tenant_id/refresh-health,/tenants/:tenant_id/refresh-health,POST,admin-saas.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/admin-saas.routes.js,true,true,true
,,,GET /external-lookup/quotas,/external-lookup/quotas,GET,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,PUT /tenants/:tenant_id/external-lookup/quota,/tenants/:tenant_id/external-lookup/quota,PUT,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,GET /tenants/:tenant_id/external-lookup/logs,/tenants/:tenant_id/external-lookup/logs,GET,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,GET /tenants/:tenant_id/external-lookup/quota-audit,/tenants/:tenant_id/external-lookup/quota-audit,GET,admin-saas.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,GET /prebilling/prices,/prebilling/prices,GET,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,GET /tenants/:tenant_id/prebilling/current,/tenants/:tenant_id/prebilling/current,GET,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,POST /tenants/:tenant_id/prebilling/recalculate,/tenants/:tenant_id/prebilling/recalculate,POST,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,PUT /prebilling/:prebilling_id/status,/prebilling/:prebilling_id/status,PUT,admin-saas.routes,unknown,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,false
,,,GET /tenants/:tenant_id/standards/catalog,/tenants/:tenant_id/standards/catalog,GET,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,PUT /tenants/:tenant_id/standards/:standard_code/contract,/tenants/:tenant_id/standards/:standard_code/contract,PUT,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,PUT /tenants/:tenant_id/standards/:standard_code/contract,/tenants/:tenant_id/standards/:standard_code/contract,PUT,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,GET /tenants/:tenant_id/contract,/tenants/:tenant_id/contract,GET,admin-saas.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,PUT /tenants/:tenant_id/contract,/tenants/:tenant_id/contract,PUT,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,PUT /prebilling/prices/:price_id,/prebilling/prices/:price_id,PUT,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,GET /dealer/my-tenants,/dealer/my-tenants,GET,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,true,true
,,,GET /dealer/requests,/dealer/requests,GET,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,GET /tenants/:tenant_id/modules/catalog,/tenants/:tenant_id/modules/catalog,GET,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,PUT /tenants/:tenant_id/modules/:module_key/contract-toggle,/tenants/:tenant_id/modules/:module_key/contract-toggle,PUT,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,POST /tenants/:tenant_id/suspend-service,/tenants/:tenant_id/suspend-service,POST,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,true,true
,,,POST /tenants/:tenant_id/reactivate-service,/tenants/:tenant_id/reactivate-service,POST,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,DELETE /tenants/:tenant_id,/tenants/:tenant_id,DELETE,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,POST /,/,POST,ai-answer.routes,tenant-signal,,,,,,,,backend/src/routes/ai-answer.routes.js,true,true,true
,,,GET /history,/history,GET,ai-auditor.routes,unknown,,,,audit-signal,,,,backend/src/routes/ai-auditor.routes.js,true,false,false
,,,POST /report,/report,POST,ai-auditor.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/ai-auditor.routes.js,true,false,true
,,,PATCH /history/:id/review,/history/:id/review,PATCH,ai-auditor.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/ai-auditor.routes.js,true,false,true
,,,GET /history/:id/report,/history/:id/report,GET,ai-auditor.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/ai-auditor.routes.js,true,false,true
,,,GET /history/:id,/history/:id,GET,ai-auditor.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/ai-auditor.routes.js,true,true,true
,,,GET /scope,/scope,GET,ai-auditor.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/ai-auditor.routes.js,true,true,true
,,,POST /analyze/start,/analyze/start,POST,ai-auditor.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/ai-auditor.routes.js,true,true,true
,,,GET /analyze/jobs/:job_id,/analyze/jobs/:job_id,GET,ai-auditor.routes,unknown,,,,audit-signal,,,,backend/src/routes/ai-auditor.routes.js,true,false,false
,,,GET /analyze/jobs/:job_id/result,/analyze/jobs/:job_id/result,GET,ai-auditor.routes,unknown,,,,audit-signal,,,,backend/src/routes/ai-auditor.routes.js,true,false,false
,,,POST /analyze,/analyze,POST,ai-auditor.routes,unknown,,,,audit-signal,,,,backend/src/routes/ai-auditor.routes.js,true,false,false
,,,POST /suggestions/:type/prepare,/suggestions/:type/prepare,POST,ai-auditor.routes,unknown,,,,audit-signal,,,,backend/src/routes/ai-auditor.routes.js,true,true,false
,,,GET /context/:audit_id,/context/:audit_id,GET,ai-auditor.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/ai-auditor.routes.js,true,true,true
,,,POST /analyze/:audit_id,/analyze/:audit_id,POST,ai-auditor.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/ai-auditor.routes.js,true,true,true
,,,GET /runs/:tenant_id,/runs/:tenant_id,GET,ai-auditor.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/ai-auditor.routes.js,true,true,true
,,,GET /,/,GET,ai-benchmark.routes,tenant-signal,,,,,,,,backend/src/routes/ai-benchmark.routes.js,true,false,true
,,,POST /,/,POST,ai-benchmark.routes,tenant-signal,,,,,,,,backend/src/routes/ai-benchmark.routes.js,true,false,true
,,,GET /engine-health,/engine-health,GET,ai-compliance.routes,tenant-signal,,,,,,,,backend/src/routes/ai-compliance.routes.js,true,false,true
,,,GET /health-summary,/health-summary,GET,ai-compliance.routes,tenant-signal,,,,,,,,backend/src/routes/ai-compliance.routes.js,true,false,true
,,,POST /analyze,/analyze,POST,ai-compliance.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/ai-compliance.routes.js,true,false,true
,,,GET /findings,/findings,GET,ai-compliance.routes,tenant-signal,,,,,,,,backend/src/routes/ai-compliance.routes.js,true,false,true
,,,POST /finding-analysis,/finding-analysis,POST,ai-compliance.routes,tenant-signal,,,,,,,,backend/src/routes/ai-compliance.routes.js,true,false,true
,,,POST /nonconformity-draft,/nonconformity-draft,POST,ai-compliance.routes,tenant-signal,,,,,,,,backend/src/routes/ai-compliance.routes.js,true,false,true
,,,POST /action-plan-suggestion,/action-plan-suggestion,POST,ai-compliance.routes,tenant-signal,,,,,,,,backend/src/routes/ai-compliance.routes.js,true,false,true
,,,GET /executive-brief,/executive-brief,GET,ai-compliance.routes,tenant-signal,,,,,,,,backend/src/routes/ai-compliance.routes.js,true,false,true
,,,GET /suggestions,/suggestions,GET,ai-compliance.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/ai-compliance.routes.js,true,false,true
,,,POST /suggestions/save,/suggestions/save,POST,ai-compliance.routes,tenant-signal,,,,,,,,backend/src/routes/ai-compliance.routes.js,true,false,true
,,,POST /suggestions/:id/apply,/suggestions/:id/apply,POST,ai-compliance.routes,tenant-signal,,,,,,,,backend/src/routes/ai-compliance.routes.js,true,false,true
,,,POST /apply/finding-analysis-to-finding,/apply/finding-analysis-to-finding,POST,ai-compliance.routes,tenant-signal,,,,,,,,backend/src/routes/ai-compliance.routes.js,true,false,true
,,,POST /apply/action-plan-suggestion-to-plan,/apply/action-plan-suggestion-to-plan,POST,ai-compliance.routes,tenant-signal,,,,,,,,backend/src/routes/ai-compliance.routes.js,true,false,true
,,,POST /apply/nonconformity-draft-to-action-plan,/apply/nonconformity-draft-to-action-plan,POST,ai-compliance.routes,tenant-signal,,,,,,,,backend/src/routes/ai-compliance.routes.js,true,false,true
,,,GET /,/,GET,ai-external-lookup.routes,tenant-signal,,,,,,,,backend/src/routes/ai-external-lookup.routes.js,true,false,true
,,,POST /search,/search,POST,ai-external-lookup.routes,tenant-signal,,,,,,,,backend/src/routes/ai-external-lookup.routes.js,true,false,true
,,,POST /search,/search,POST,ai-external-lookup.routes,tenant-signal,,,,,,,,backend/src/routes/ai-external-lookup.routes.js,false,false,true
,,,POST /cache,/cache,POST,ai-external-lookup.routes,tenant-signal,,,,,,,,backend/src/routes/ai-external-lookup.routes.js,false,false,true
,,,GET /,/,GET,ai-feedback.routes,tenant-signal,,,,,,,,backend/src/routes/ai-feedback.routes.js,true,false,true
,,,POST /,/,POST,ai-feedback.routes,tenant-signal,,,,,,,,backend/src/routes/ai-feedback.routes.js,true,false,true
,,,GET /entity/:entityType/:entityId,/entity/:entityType/:entityId,GET,ai-feedback.routes,tenant-signal,,,,,,,,backend/src/routes/ai-feedback.routes.js,false,false,true
,,,GET /stats,/stats,GET,ai-feedback.routes,tenant-signal,,,,,,,,backend/src/routes/ai-feedback.routes.js,false,false,true
,,,GET /useful-cases,/useful-cases,GET,ai-feedback.routes,tenant-signal,,,,,,,,backend/src/routes/ai-feedback.routes.js,false,false,true
,,,GET /search,/search,GET,ai-knowledge.routes,tenant-signal,,,,,,,,backend/src/routes/ai-knowledge.routes.js,true,false,true
,,,POST /internal-search,/internal-search,POST,ai-knowledge.routes,tenant-signal,,,,,,,,backend/src/routes/ai-knowledge.routes.js,true,false,true
,,,GET /,/,GET,ai-tenant-search.routes,tenant-signal,,,,,,,,backend/src/routes/ai-tenant-search.routes.js,true,false,true
,,,POST /,/,POST,ai-tenant-search.routes,tenant-signal,,,,,,,,backend/src/routes/ai-tenant-search.routes.js,true,false,true
,,,POST /,/,POST,ai-traces.routes,tenant-signal,,,,,,,,backend/src/routes/ai-traces.routes.js,true,false,true
,,,GET /,/,GET,ai-traces.routes,tenant-signal,,,,,,,,backend/src/routes/ai-traces.routes.js,true,true,true
,,,GET /:id,/:id,GET,ai-traces.routes,tenant-signal,,,,,,,,backend/src/routes/ai-traces.routes.js,true,true,true
,,,GET /recommendations/:tenant_id,/recommendations/:tenant_id,GET,ai.routes,tenant-signal,,,,,,,,backend/src/routes/ai.routes.js,true,false,true
,,,PUT /apply/:tenant_control_id,/apply/:tenant_control_id,PUT,ai.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/ai.routes.js,true,false,true
,,,POST /,/,POST,assets.routes,tenant-signal,,,,,,,,backend/src/routes/assets.routes.js,true,false,true
,,,GET /:tenant_id,/:tenant_id,GET,assets.routes,tenant-signal,,,,,,,,backend/src/routes/assets.routes.js,true,false,true
,,,POST /risk,/risk,POST,assets.routes,tenant-signal,,,,,,,,backend/src/routes/assets.routes.js,true,false,true
,,,GET /risk/:asset_id,/risk/:asset_id,GET,assets.routes,tenant-signal,,,,,,,,backend/src/routes/assets.routes.js,true,false,true
,,,GET /risk-summary/:tenant_id,/risk-summary/:tenant_id,GET,assets.routes,tenant-signal,,,,,,,,backend/src/routes/assets.routes.js,true,false,true
,,,GET /:audit_id/checklist,/:audit_id/checklist,GET,audit-execution.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/audit-execution.routes.js,true,true,true
,,,PUT /review/:review_id,/review/:review_id,PUT,audit-execution.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/audit-execution.routes.js,true,true,true
,,,GET /:audit_id/summary,/:audit_id/summary,GET,audit-execution.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/audit-execution.routes.js,true,true,true
,,,GET /templates,/templates,GET,auditPreparation.routes,unknown,,,,audit-signal,,,,backend/src/routes/auditPreparation.routes.js,false,false,false
,,,GET /documentary-sources,/documentary-sources,GET,auditPreparation.routes,unknown,,,,audit-signal,,,,backend/src/routes/auditPreparation.routes.js,false,false,false
,,,POST /documentary-sources,/documentary-sources,POST,auditPreparation.routes,unknown,,,,audit-signal,,,,backend/src/routes/auditPreparation.routes.js,false,false,false
,,,PUT /documentary-sources/:sourceId,/documentary-sources/:sourceId,PUT,auditPreparation.routes,unknown,,,,audit-signal,,,,backend/src/routes/auditPreparation.routes.js,false,false,false
,,,DELETE /documentary-sources/:sourceId,/documentary-sources/:sourceId,DELETE,auditPreparation.routes,unknown,,,,audit-signal,,,,backend/src/routes/auditPreparation.routes.js,false,false,false
,,,POST /packages,/packages,POST,auditPreparation.routes,unknown,,,,audit-signal,,,,backend/src/routes/auditPreparation.routes.js,false,false,false
,,,GET /packages,/packages,GET,auditPreparation.routes,unknown,,,,audit-signal,,,,backend/src/routes/auditPreparation.routes.js,false,false,false
,,,GET /packages/:id/summary,/packages/:id/summary,GET,auditPreparation.routes,unknown,,,,audit-signal,,,,backend/src/routes/auditPreparation.routes.js,false,false,false
,,,GET /packages/:id/documents,/packages/:id/documents,GET,auditPreparation.routes,unknown,,,,audit-signal,,,,backend/src/routes/auditPreparation.routes.js,false,false,false
,,,POST /packages/:id/build-context,/packages/:id/build-context,POST,auditPreparation.routes,unknown,,,,audit-signal,,,,backend/src/routes/auditPreparation.routes.js,false,false,false
,,,POST /packages/:id/generate-documents,/packages/:id/generate-documents,POST,auditPreparation.routes,unknown,,,,audit-signal,,,,backend/src/routes/auditPreparation.routes.js,false,false,false
,,,POST /packages/:id/generate-evidence-index,/packages/:id/generate-evidence-index,POST,auditPreparation.routes,unknown,,,,audit-signal,,,,backend/src/routes/auditPreparation.routes.js,false,false,false
,,,GET /packages/:id/uploaded-zips,/packages/:id/uploaded-zips,GET,auditPreparation.routes,unknown,,,,audit-signal,,,,backend/src/routes/auditPreparation.routes.js,false,false,false
,,,GET /packages/:id/gaps,/packages/:id/gaps,GET,auditPreparation.routes,unknown,,,,audit-signal,,,,backend/src/routes/auditPreparation.routes.js,false,false,false
