tenant_id,module_key,module_name,is_enabled,enabled_at,disabled_at
4f8c5522-190c-4ace-bf59-1e7cc96003e7,grc_phase3_operations,Operación y continuidad GRC,t,2026-07-29 16:09:13.275375,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,nonconformities,No Conformidades,t,,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,risk_matrix,Matriz de Riesgo,t,,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,audits,Auditorías,t,,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,assets,Activos,t,,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,reports,Reportes,t,,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,ai,IA,t,2026-05-26 13:23:55.044249,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,dealer_portal,Portal Dealer,t,2026-05-26 13:24:00.026972,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,admin_saas,Administración SaaS,t,2026-05-26 13:24:02.641193,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,health,Health ISO,t,2026-04-17 13:57:38.405707,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,controls,Controles,t,2026-04-17 13:57:38.405707,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,evidences,Evidencias,t,2026-04-17 13:57:38.405707,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,action_plans,Plan de Acción,t,2026-04-17 13:57:38.405707,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,grc_phase1_core,Nucleo GRC Fase 1,f,,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,grc_phase2_integrated,GRC integrado Fase 2,f,,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,grc_phase3_operations,Operación y continuidad GRC,f,,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,nonconformities,No Conformidades,t,2026-04-17 13:57:38.405707,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,risk_matrix,Matriz de Riesgo,t,2026-04-17 13:57:38.405707,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,audits,Auditorías,t,2026-04-17 13:57:38.405707,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,assets,Activos,t,2026-04-17 13:57:38.405707,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,reports,Reportes,t,2026-04-17 13:57:38.405707,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,ai,IA,t,2026-04-17 17:14:44.579694,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,dealer_portal,Portal Dealer,f,,
697eefa4-3b56-4c8a-a7d4-6d512c40233e,admin_saas,Administración SaaS,f,,
6bd63a82-c6af-425a-bed7-270ce09c60ae,health,Health ISO,t,,
6bd63a82-c6af-425a-bed7-270ce09c60ae,controls,Controles,t,,
6bd63a82-c6af-425a-bed7-270ce09c60ae,evidences,Evidencias,t,,
6bd63a82-c6af-425a-bed7-270ce09c60ae,action_plans,Plan de Acción,t,,
6bd63a82-c6af-425a-bed7-270ce09c60ae,grc_phase1_core,Nucleo GRC Fase 1,f,,
6bd63a82-c6af-425a-bed7-270ce09c60ae,grc_phase2_integrated,GRC integrado Fase 2,f,,
6bd63a82-c6af-425a-bed7-270ce09c60ae,grc_phase3_operations,Operación y continuidad GRC,f,,
6bd63a82-c6af-425a-bed7-270ce09c60ae,nonconformities,No Conformidades,t,,
6bd63a82-c6af-425a-bed7-270ce09c60ae,risk_matrix,Matriz de Riesgo,f,,2026-08-20 14:06:01.594221
6bd63a82-c6af-425a-bed7-270ce09c60ae,audits,Auditorías,t,,
6bd63a82-c6af-425a-bed7-270ce09c60ae,assets,Activos,f,,2026-08-20 14:06:05.611904
6bd63a82-c6af-425a-bed7-270ce09c60ae,reports,Reportes,t,,
6bd63a82-c6af-425a-bed7-270ce09c60ae,ai,IA,t,2026-08-20 13:59:32.5452,
6bd63a82-c6af-425a-bed7-270ce09c60ae,dealer_portal,Portal Dealer,f,,
6bd63a82-c6af-425a-bed7-270ce09c60ae,admin_saas,Administración SaaS,f,,
70000000-0000-0000-0000-000000000701,health,Health ISO,t,,
70000000-0000-0000-0000-000000000701,controls,Controles,t,,
70000000-0000-0000-0000-000000000701,evidences,Evidencias,t,,
70000000-0000-0000-0000-000000000701,action_plans,Plan de Acción,t,,
70000000-0000-0000-0000-000000000701,grc_phase1_core,Nucleo GRC Fase 1,t,2026-07-24 17:38:38.331,
70000000-0000-0000-0000-000000000701,grc_phase2_integrated,GRC integrado Fase 2,t,2026-07-28 13:22:46.995619,
70000000-0000-0000-0000-000000000701,grc_phase3_operations,Operación y continuidad GRC,t,2026-07-28 17:18:51.694739,
70000000-0000-0000-0000-000000000701,nonconformities,No Conformidades,t,,
70000000-0000-0000-0000-000000000701,risk_matrix,Matriz de Riesgo,t,,
70000000-0000-0000-0000-000000000701,audits,Auditorías,t,,
70000000-0000-0000-0000-000000000701,assets,Activos,t,,
70000000-0000-0000-0000-000000000701,reports,Reportes,t,,
70000000-0000-0000-0000-000000000701,ai,IA,t,2026-06-09 19:22:53.581612,
70000000-0000-0000-0000-000000000701,dealer_portal,Portal Dealer,f,,
70000000-0000-0000-0000-000000000701,admin_saas,Administración SaaS,f,,
76c44a0e-6041-8bda-99c7-b740fccea001,health,Health ISO,t,,
76c44a0e-6041-8bda-99c7-b740fccea001,controls,Controles,t,,
76c44a0e-6041-8bda-99c7-b740fccea001,evidences,Evidencias,t,,
76c44a0e-6041-8bda-99c7-b740fccea001,action_plans,Plan de Acción,t,,
76c44a0e-6041-8bda-99c7-b740fccea001,grc_phase1_core,Nucleo GRC Fase 1,t,2026-08-03 19:57:47.883466,
76c44a0e-6041-8bda-99c7-b740fccea001,grc_phase2_integrated,GRC integrado Fase 2,t,2026-08-03 19:57:52.950413,
76c44a0e-6041-8bda-99c7-b740fccea001,grc_phase3_operations,Operación y continuidad GRC,t,2026-08-03 19:57:55.747117,
76c44a0e-6041-8bda-99c7-b740fccea001,nonconformities,No Conformidades,t,,
76c44a0e-6041-8bda-99c7-b740fccea001,risk_matrix,Matriz de Riesgo,t,,
