tenant_id,capability_key,enabled,read_only,source,module_key,required_permission,effective_from,effective_until
4f8c5522-190c-4ace-bf59-1e7cc96003e7,metrics.data_trust,t,f,plan,metrics_bi,data.quality.read,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,metrics.engine,t,f,plan,metrics_bi,metrics.measure,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,metrics.indicators.read,t,f,plan,metrics_bi,metrics.read,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,metrics.indicators.technical,t,f,plan,metrics_bi,data.lineage.read,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,metrics.jobs.run,t,f,plan,metrics_bi,metrics.recalculate,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,metrics.methodology.manage,t,f,plan,metrics_bi,metrics.manage,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,metrics.methodology.publish,t,f,plan,metrics_bi,metrics.publish,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,metrics.methodology.review,t,f,plan,metrics_bi,metrics.validate,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,metrics.snapshots.publish,t,f,plan,metrics_bi,metrics.measure,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,reporting.docx,t,f,plan,report_studio,reports.generate,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,reporting.pdf,t,f,plan,report_studio,reports.generate,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,reporting.scheduled,t,f,plan,report_studio,reports.schedule,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,reporting.studio,t,f,plan,report_studio,reports.read,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,reporting.xlsx,t,f,plan,report_studio,reports.generate,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,reports.premium,t,f,plan,premium_reports,grc.export.generate,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,risk.quantitative,t,f,plan,risk_manager,commercial.entitlement.read,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,surveys.engine,t,f,plan,surveys_assessments,surveys.read,2026-07-30 16:41:42.399471+00,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,tprm.suppliers,t,f,plan,integrated_grc,commercial.entitlement.read,2026-07-30 16:41:42.399471+00,
