role_key,permission_key,permission_group,is_allowed,permission_active
platform_admin,nonconformities.view,nonconformities,t,t
platform_admin,reports.export,reports,t,t
platform_admin,reports.view,reports,t,t
platform_admin,risk_matrix.manage,risk_matrix,t,t
platform_admin,risk_matrix.view,risk_matrix,t,t
platform_admin,settings.view,settings,t,t
platform_admin,standards.initialize,standards,t,t
platform_admin,standards.manage,standards,t,t
platform_admin,standards.view,standards,t,t
platform_admin,tenants.create,tenants,t,t
platform_admin,tenants.manage,tenants,t,t
platform_admin,tenants.suspend,tenants,t,t
platform_admin,tenants.update,tenants,t,t
platform_admin,tenants.view,tenants,t,t
platform_admin,users.assign_roles,users,t,t
platform_admin,users.manage,users,t,t
platform_admin,users.view,users,t,t
superadmin,actions.approve,actions,t,t
superadmin,actions.delete,actions,t,t
superadmin,actions.manage,actions,t,t
superadmin,actions.view,actions,t,t
superadmin,admin_saas.manage,admin_saas,t,t
superadmin,admin_saas.view,admin_saas,t,t
superadmin,ai.use,ai,t,t
superadmin,ai.view,ai,t,t
superadmin,assets.manage,assets,t,t
superadmin,assets.view,assets,t,t
superadmin,auditlog.view,auditlog,t,t
superadmin,audits.manage,audits,t,t
superadmin,audits.review,audits,t,t
superadmin,audits.view,audits,t,t
superadmin,commercial.catalog.manage,commercial,t,t
superadmin,commercial.catalog.read,commercial,t,t
superadmin,commercial.entitlement.override,commercial,t,t
superadmin,commercial.entitlement.read,commercial,t,t
superadmin,commercial.health.read,commercial,t,t
superadmin,commercial.methodology.manage,commercial,t,t
superadmin,commercial.methodology.read,commercial,t,t
superadmin,commercial.pack.install,commercial,t,t
superadmin,commercial.pack.manage,commercial,t,t
superadmin,commercial.pack.read,commercial,t,t
superadmin,commercial.plan.manage,commercial,t,t
superadmin,commercial.plan.read,commercial,t,t
superadmin,commercial.subscription.manage,commercial,t,t
superadmin,commercial.subscription.read,commercial,t,t
superadmin,commercial.trial.manage,commercial,t,t
superadmin,commercial.usage.read,commercial,t,t
superadmin,commercial.workpaper.manage,commercial,t,t
superadmin,commercial.workpaper.read,commercial,t,t
superadmin,controls.manage,controls,t,t
superadmin,controls.view,controls,t,t
superadmin,dealer.clients.manage,dealer,t,t
superadmin,dealer.clients.view,dealer,t,t
superadmin,dealer.requests.create,dealer,t,t
