tenant_id,capability_key,module_key,required_permission,enabled,read_only,source,effective_from,effective_until
697eefa4-3b56-4c8a-a7d4-6d512c40233e,reporting.xlsx,report_studio,reports.generate,t,f,plan,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,risk.quantitative,risk_manager,commercial.entitlement.read,t,f,plan,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
70000000-0000-0000-0000-000000000701,ai.compliance,ai_compliance,commercial.entitlement.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,assurance.testing,assurance_loss,assurance_tests.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,bi.dashboard_builder,metrics_bi,dashboards.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,bi.executive_dashboards,metrics_bi,dashboards.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,core.dashboard,core,commercial.entitlement.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,core.reports,core,commercial.entitlement.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,data.governance,data_governance,data.catalog.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,data.impact_graph,data_governance,data.lineage.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,data.lineage,data_governance,data.lineage.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,data.semantic_layer,data_governance,semantic.contracts.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,grc.phase1,grc_core,commercial.entitlement.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,grc.phase2,integrated_grc,commercial.entitlement.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,grc.phase3,operations_grc,commercial.entitlement.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,imports.excel,operations_grc,operations.import,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,loss.events,assurance_loss,loss_events.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,methodology.risk,risk_manager,commercial.entitlement.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.actions.propose,metrics_bi,metrics.measure,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.actions.review,metrics_bi,metrics.validate,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.catalog,metrics_bi,metrics.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.comparisons.read,metrics_bi,metrics.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.data_trust,data_governance,data.quality.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.data_trust,metrics_bi,data.quality.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.engine,metrics_bi,metrics.measure,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.indicators.read,metrics_bi,metrics.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.indicators.technical,metrics_bi,data.lineage.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.jobs.run,metrics_bi,metrics.recalculate,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.methodology.manage,metrics_bi,metrics.manage,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.methodology.publish,metrics_bi,metrics.publish,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.methodology.review,metrics_bi,metrics.validate,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.snapshots.publish,metrics_bi,metrics.measure,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,reporting.docx,report_studio,reports.generate,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,reporting.pdf,report_studio,reports.generate,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,reporting.scheduled,report_studio,reports.schedule,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,reporting.studio,report_studio,reports.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,reporting.xlsx,report_studio,reports.generate,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,reports.premium,premium_reports,grc.export.generate,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,risk.quantitative,risk_manager,commercial.entitlement.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,surveys.engine,surveys_assessments,surveys.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,tprm.suppliers,integrated_grc,commercial.entitlement.read,t,f,plan,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,tprm.suppliers,,commercial.entitlement.read,t,f,override,2026-08-03 19:42:58.403457+00,
70000000-0000-0000-0000-000000000701,workpapers.audit,audit_workpapers,commercial.entitlement.read,t,f,plan,2026-07-29 16:44:23.387149+00,
76c44a0e-6041-8bda-99c7-b740fccea001,ai.compliance,ai_compliance,commercial.entitlement.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,assurance.testing,assurance_loss,assurance_tests.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,bi.dashboard_builder,metrics_bi,dashboards.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,bi.executive_dashboards,metrics_bi,dashboards.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,core.dashboard,core,commercial.entitlement.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,core.reports,core,commercial.entitlement.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,data.governance,data_governance,data.catalog.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,data.impact_graph,data_governance,data.lineage.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,data.lineage,data_governance,data.lineage.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,data.semantic_layer,,semantic.contracts.read,t,f,override,2025-09-03 19:53:16.440717+00,2028-02-03 19:53:16.440717+00
76c44a0e-6041-8bda-99c7-b740fccea001,data.semantic_layer,data_governance,semantic.contracts.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,grc.phase1,grc_core,commercial.entitlement.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,grc.phase2,integrated_grc,commercial.entitlement.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,grc.phase3,operations_grc,commercial.entitlement.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,imports.excel,operations_grc,operations.import,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,loss.events,assurance_loss,loss_events.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,methodology.risk,risk_manager,commercial.entitlement.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.actions.propose,metrics_bi,metrics.measure,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.actions.review,metrics_bi,metrics.validate,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.catalog,metrics_bi,metrics.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.comparisons.read,metrics_bi,metrics.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.data_trust,metrics_bi,data.quality.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.data_trust,data_governance,data.quality.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.engine,metrics_bi,metrics.measure,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.indicators.read,metrics_bi,metrics.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.indicators.technical,metrics_bi,data.lineage.read,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.jobs.run,metrics_bi,metrics.recalculate,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.methodology.manage,metrics_bi,metrics.manage,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.methodology.publish,metrics_bi,metrics.publish,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.methodology.review,metrics_bi,metrics.validate,t,f,plan,2026-08-03 19:59:18.231419+00,
76c44a0e-6041-8bda-99c7-b740fccea001,metrics.snapshots.publish,metrics_bi,metrics.measure,t,f,plan,2026-08-03 19:59:18.231419+00,
